MB128 Q0 304306200781156352 1 5.987014 2013-2013-baseline# TResult(id:304306200781156352, rsv:5.987013816833496, screen_name:amaadius, epoch:1361387226, text:amadius**** Shop online safely and securely on Phoenix Online Clothing:   Phoenixo Online Clothing is an onlin... http://t.co/K7MiKNSQ, followers_count:72, statuses_count:3851, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 306356804395339778 2 5.351549 2013-2013-baseline# TResult(id:306356804395339778, rsv:5.35154914855957, screen_name:Ahmetiban, epoch:1361876128, text:Buy Women Fashion Clothing all stuffs online Amidra Online Clothing Store http://t.co/GRek681U0n, followers_count:68, statuses_count:198, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 310751122170212352 3 5.341681 2013-2013-baseline# TResult(id:310751122170212352, rsv:5.341681480407715, screen_name:samantaraye, epoch:1362923815, text:/Design Your Own Clothing Online: Print Email. 2013-03-10T06:00:00Z Design Your Own Clothing Online stltoday.c... http://t.co/8tNVnPoDGK, followers_count:0, statuses_count:20698, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 311339021009842176 4 5.341681 2013-2013-baseline# TResult(id:311339021009842176, rsv:5.341681480407715, screen_name:CarlieSils, epoch:1363063981, text:Tips for Buying Clothes Online | ThriftyFun: This guide contains tips for buying clothes online. Making sure y... http://t.co/NdwRN2lEWf, followers_count:630, statuses_count:6691, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 314483910144835584 5 5.126423 2013-2013-baseline# TResult(id:314483910144835584, rsv:5.126422882080078, screen_name:JessConspiracy, epoch:1363813781, text:Need new clothes! Time I replaced my black clothes with new black clothes! Any suggestions for online shopping? LoL, followers_count:178, statuses_count:20433, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 303689667465850882 6 5.126423 2013-2013-baseline# TResult(id:303689667465850882, rsv:5.126422882080078, screen_name:suziechism, epoch:1361240233, text:The worst and best part of going to the laundromat is that I always online shop for two hours. CLOTHES ON CLOTHES ON CLOTHES., followers_count:280, statuses_count:9176, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 298992940360011777 7 4.752259 2013-2013-baseline# TResult(id:298992940360011777, rsv:4.752259254455566, screen_name:cashcoming, epoch:1360120446, text:urban clothing: Online urban clothing stores http://t.co/NdZzUvRF, followers_count:1039, statuses_count:430416, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 317811557671251970 8 4.747675 2013-2013-baseline# TResult(id:317811557671251970, rsv:4.747674942016602, screen_name:Gulf_Abaya, epoch:1364607154, text:Abaya | Hijab| Muslim wedding clothes| Online islamic clothing store http://t.co/lWUOSXZZh5, followers_count:87, statuses_count:1374, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 308657623400591361 9 4.747675 2013-2013-baseline# TResult(id:308657623400591361, rsv:4.747674942016602, screen_name:cashcoming, epoch:1362424686, text:urban clothing: Online urban clothing stores http://t.co/OpN0pjIjPR #Buy_Streetwear_online #SEO #Traffic #Wholesale_skatewear_online, followers_count:1038, statuses_count:460064, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 317062287234068480 10 4.747675 2013-2013-baseline# TResult(id:317062287234068480, rsv:4.747674942016602, screen_name:cashcoming, epoch:1364428514, text:urban clothing: Online urban clothing stores http://t.co/OpN0pjIjPR #Buy_Streetwear_online #SEO #Traffic #Wholesale_skatewear_online, followers_count:1038, statuses_count:485809, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
MB128 Q0 299887199518863361 11 4.747675 2013-2013-baseline# TResult(id:299887199518863361, rsv:4.747674942016602, screen_name:cashcoming, epoch:1360333654, text:urban clothing: Online urban clothing stores http://t.co/NdZzUvRF #Buy_Streetwear_online #SEO #Traffic #Wholesale_skatewear_online, followers_count:1037, statuses_count:433120, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0) 
