MB099 Q0 34643181832241154 1 5.818180 2011-2012-baseline# TResult(id:34643181832241154, rsv:5.818179607391357, screen_name:TrendsGoogle, epoch:1297094552, text:superbowl score by quarter, best superbowl commercials 2011, ...: superbowl score by quarter best superbowl commercials 2011 super bo..., followers_count:17, statuses_count:2655, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34317891583090688 2 5.162620 2011-2012-baseline# TResult(id:34317891583090688, rsv:5.162619590759277, screen_name:ChristineStfu, epoch:1297016997, text:Gonna shower then wait for the Superbowl to come on. I just wanna watch the commercials lol. Superbowl commercials are the best/funniest., followers_count:291, statuses_count:44634, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34443271946256384 3 5.162620 2011-2012-baseline# TResult(id:34443271946256384, rsv:5.162619590759277, screen_name:AirGang_Juice, epoch:1297046890, text:I want infritrate the system of the superbowl commercials.,ima find a way to put a low budget axx commercial on the superbowl channel.!, followers_count:239, statuses_count:7574, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34412664666984449 4 4.923179 2011-2012-baseline# TResult(id:34412664666984449, rsv:4.923178672790527, screen_name:behbote, epoch:1297039593, text:Lol nothing but Superbowl & Superbowl Commercial comments on my timeline RT @TheButterscotch: Who's NOT watching the Superbowl?!, followers_count:251, statuses_count:4473, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34330464302931969 5 4.920502 2011-2012-baseline# TResult(id:34330464302931969, rsv:4.920502185821533, screen_name:PaulaAbdul, epoch:1297019995, text:superbowl commercials are SO FUNNY! xoP RT @paulafanx13: @PaulaAbdul watching for an American X Factor commercial, commercials in general!, followers_count:2183, statuses_count:9293, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34759859656196097 6 4.559560 2011-2012-baseline# TResult(id:34759859656196097, rsv:4.5595598220825195, screen_name:ThatsNotMyGF_, epoch:1297122371, text:Superbowl commercials &gt; Superbowl, followers_count:3031, statuses_count:24540, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34407162839044096 7 4.557065 2011-2012-baseline# TResult(id:34407162839044096, rsv:4.557065486907959, screen_name:cpoWw, epoch:1297038281, text:Superbowl commercials are better than the actual superbowl, followers_count:107, statuses_count:2950, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 33749775782248448 8 4.550525 2011-2012-baseline# TResult(id:33749775782248448, rsv:4.550524711608887, screen_name:sdmfx, epoch:1296881548, text:Kia has a commercial advertising a superbowl commercial. Like a snake consuming itself., followers_count:100, statuses_count:457, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 31588011934220290 9 4.550525 2011-2012-baseline# TResult(id:31588011934220290, rsv:4.550524711608887, screen_name:eloysuperb, epoch:1296366143, text:Woah. That GE commercial should've been a SuperBowl commercial!, followers_count:393, statuses_count:50995, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34641731626467328 10 4.550525 2011-2012-baseline# TResult(id:34641731626467328, rsv:4.550524711608887, screen_name:xjessicagx, epoch:1297094207, text:“@ochocinco: What was the best SuperBowl commercial?”&lt;-1st Doritos commercial! Hilarious, followers_count:418, statuses_count:3303, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34399067366756353 11 4.550525 2011-2012-baseline# TResult(id:34399067366756353, rsv:4.550524711608887, screen_name:OhGod_Its_Josh, epoch:1297036351, text:The SUPERBOWL COMMERCIALS are funny, they threw a commercial at a blonde XD, followers_count:52, statuses_count:3001, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34402055581863936 12 4.550525 2011-2012-baseline# TResult(id:34402055581863936, rsv:4.550524711608887, screen_name:Santinola24, epoch:1297037063, text:So far dorritos and pepsi are commercial tyrants for superbowl commercials, followers_count:51, statuses_count:3274, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34694760480374784 13 4.550525 2011-2012-baseline# TResult(id:34694760480374784, rsv:4.550524711608887, screen_name:MarkyBen, epoch:1297106850, text:Darth vader commercial is by far the best commercial during the superbowl, followers_count:105, statuses_count:3991, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34590295047802880 14 4.550525 2011-2012-baseline# TResult(id:34590295047802880, rsv:4.550524711608887, screen_name:wesibacon, epoch:1297081943, text:Watch this Best Buy SuperBowl commercial on YouTube's Ad Blitz channel at http://www.youtube.com/adblitz/?x=yTe3Zp7Z_Z8 best commercial ever, followers_count:66, statuses_count:553, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 32842296898625536 15 4.548592 2011-2012-baseline# TResult(id:32842296898625536, rsv:4.5485920906066895, screen_name:gimasine, epoch:1296665188, text:Automotive Business and the Superbowl: The automotive business is taking over the majority of Superbowl commerci... http://bit.ly/eGXSLT, followers_count:0, statuses_count:5537, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34084258175782912 16 4.548592 2011-2012-baseline# TResult(id:34084258175782912, rsv:4.5485920906066895, screen_name:molly_ohalloran, epoch:1296961295, text:Watching the best part of the superbowl before the superbowl even happens the commercials! (:, followers_count:440, statuses_count:1264, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34414586220249088 17 4.548592 2011-2012-baseline# TResult(id:34414586220249088, rsv:4.5485920906066895, screen_name:katentweets, epoch:1297040051, text:See kenny g in superbowl commercial made me think of @birbigs made my superbowl experience even better!, followers_count:147, statuses_count:1099, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 33937165989707776 18 4.546635 2011-2012-baseline# TResult(id:33937165989707776, rsv:4.546634674072266, screen_name:kiedricb, epoch:1296926225, text:I'm cracking up at these funniest superbowl commercials! The only time commercials are funny is during championships, followers_count:212, statuses_count:2751, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34417907014311936 19 4.546635 2011-2012-baseline# TResult(id:34417907014311936, rsv:4.546634674072266, screen_name:lindsay_davies, epoch:1297040843, text:The only good reason for watching superbowl is the commercials and here in canada our commercials are LAME!!, followers_count:124, statuses_count:1035, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34385474214694912 20 4.546635 2011-2012-baseline# TResult(id:34385474214694912, rsv:4.546634674072266, screen_name:FierceBeyLover, epoch:1297033110, text:Omg right RT @FuckKeriHilson I know  Beyonce Vizio Commercial better be apart of the SuperBowl commercials., followers_count:522, statuses_count:9172, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 35039908636659712 21 4.546635 2011-2012-baseline# TResult(id:35039908636659712, rsv:4.546634674072266, screen_name:therealCanuck21, epoch:1297189139, text:My favourite commercial of the Superbowl -- Volkswagen Commercial: The Force http://t.co/SjkXjcV via @youtube, followers_count:101, statuses_count:2609, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 32843993612029952 22 4.542614 2011-2012-baseline# TResult(id:32843993612029952, rsv:4.542613983154297, screen_name:myCounterparts, epoch:1296665592, text:POLL: Do you watch the Superbowl because you are interested in the game, or do you just like the yummy Superbowl party food and commercials?, followers_count:28, statuses_count:119, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 31144867862155264 23 4.542614 2011-2012-baseline# TResult(id:31144867862155264, rsv:4.542613983154297, screen_name:beeskneesbiebs, epoch:1296260489, text:I was listening to the radio and they said Justin Bieber and SuperBowl commercials. When they said SuperBowl my head popped up. hahaha, followers_count:127, statuses_count:6575, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34502733457260544 24 4.542614 2011-2012-baseline# TResult(id:34502733457260544, rsv:4.542613983154297, screen_name:cenaphan23, epoch:1297061067, text:Video: Glee “Chevy Commercial” (Superbowl 2011) (via movieguybuff) this would have to be my fave superbowl... http://tumblr.com/xsw1g9lgx2, followers_count:122, statuses_count:7245, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34465571512926208 25 4.542614 2011-2012-baseline# TResult(id:34465571512926208, rsv:4.542613983154297, screen_name:BonjourSimone, epoch:1297052207, text:Everyone's complaining about the @Groupon Superbowl commercial.  I didn't watch the Superbowl, so I'm off to do some googling..., followers_count:226, statuses_count:2715, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34484445306167296 26 4.542614 2011-2012-baseline# TResult(id:34484445306167296, rsv:4.542613983154297, screen_name:CupcakeMelissa, epoch:1297056707, text:The Spirit of Detroit Statue got it's time in the Superbowl spotlight. Imported from Detroit.  Best 3 words in a Superbowl commercial ever., followers_count:78, statuses_count:25, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34402937866293248 27 4.542614 2011-2012-baseline# TResult(id:34402937866293248, rsv:4.542613983154297, screen_name:HanoverEmily, epoch:1297037274, text:Globes and SAGs are regular season... Academy Awards is my true Superbowl. But the NFL Superbowl wout Ravens = good times w food/commercials, followers_count:808, statuses_count:4538, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 33725260448669696 28 4.542614 2011-2012-baseline# TResult(id:33725260448669696, rsv:4.542613983154297, screen_name:Soho008, epoch:1296875703, text:Most popular Superbowl commercial .. before the Superbowl ! 6 000 000 views since Feb.2, 350K FB shares,19K Tweets .. http://bit.ly/dY6RfS, followers_count:214, statuses_count:192, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34305960986017792 29 4.540657 2011-2012-baseline# TResult(id:34305960986017792, rsv:4.540657043457031, screen_name:Educ8dBeauty, epoch:1297014153, text:Can't wait to watch the superbowl commercials!! Ya'll know I love commercials anyways they're just 20x better during the super bowl, followers_count:220, statuses_count:22092, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34450490150359040 30 4.540657 2011-2012-baseline# TResult(id:34450490150359040, rsv:4.540657043457031, screen_name:kalpain, epoch:1297048611, text:if you spent money on superbowl commercial time and then used an old commercial you failed... looking at you #Amex..., followers_count:241, statuses_count:5013, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34489482036125696 31 4.540657 2011-2012-baseline# TResult(id:34489482036125696, rsv:4.540657043457031, screen_name:JGuzman810, epoch:1297057907, text:Superbowl was wack but the commercials were good and @KimKardashian had one of the great commercials that night...Night ppl, followers_count:1690, statuses_count:1007, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34440640834052097 32 4.540657 2011-2012-baseline# TResult(id:34440640834052097, rsv:4.540657043457031, screen_name:dylanmelcher, epoch:1297046263, text:Superbowl commercials are....ok. Seems like doritos vs pepsi.. I was stoked for @Groupon and your commercial sucked!!!!!, followers_count:628, statuses_count:936, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34446465791164416 33 4.540657 2011-2012-baseline# TResult(id:34446465791164416, rsv:4.540657043457031, screen_name:CandidK, epoch:1297047652, text:Things you learn when fast forwarding through the Superbowl to watch the commercials: There are A LOT of commercial breaks. I mean...A LOT!, followers_count:323, statuses_count:25835, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB099 Q0 34402148942876672 34 4.540657 2011-2012-baseline# TResult(id:34402148942876672, rsv:4.540657043457031, screen_name:ems711, epoch:1297037086, text:@bieberoffice the superbowl commercials are the funniest and best! Plus Justin has a commercial with Ozzy that is gonna be played!, followers_count:1401, statuses_count:12873, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
