@relation trainingSet

@attribute url {true,false}
@attribute 'URL Relevance' {false}
@attribute NumberOfRetweets numeric
@attribute Hashtag {No,Yes}
@attribute Mention {No,Yes}
@attribute 'Max Retweets' {false}
@attribute PercentMatch numeric
@attribute Tweets:Followers numeric
@attribute Followers numeric
@attribute Relevant {false}

@data
true,false,0,No,No,false,0,21651,1,false
false,false,0,No,No,false,0,33.555556,153,false
false,false,0,No,Yes,false,0,27.746943,3762,false
true,false,0,No,No,false,0,65.888462,260,false
true,false,0,Yes,No,false,0,3365,1,false
true,false,0,Yes,No,false,0,4.310372,2584,false
true,false,0,No,No,false,0,5.040678,295,false
false,false,0,Yes,No,false,0,3.518954,7149,false
false,false,0,No,No,false,0,6.773148,432,false
false,false,0,No,Yes,false,0,100.270073,137,false
false,false,0,No,No,false,0,53.122807,228,false
false,false,0,No,Yes,false,0,167.183099,284,false
false,false,0,No,No,false,0,38.548077,104,false
false,false,0,No,Yes,false,0,54.798982,393,false
false,false,0,No,Yes,false,0,24.176471,136,false
false,false,0,No,No,false,0,112.391304,46,false
false,false,0,No,Yes,false,0,56.066282,347,false
false,false,0,No,Yes,false,0,12.666667,735,false
false,false,0,No,Yes,false,0,47.04375,480,false
false,false,0,No,No,false,0,5.28271,856,false
true,false,0,No,No,false,0,26.700068,2954,false
true,false,0,No,No,false,17.54386,2.786037,1991,false
true,false,0,No,Yes,false,0,18.594502,291,false
true,false,0,No,Yes,false,0,2.444444,108,false
true,false,0,No,No,false,0,1136.8,10,false
true,false,0,No,No,false,0,291.888889,9,false
true,false,0,No,No,false,0,1.04717,1166,false
false,false,0,No,No,false,0,Infinity,0,false
false,false,0,Yes,No,false,0,Infinity,0,false
false,false,0,Yes,No,false,0,8.541333,750,false
false,false,0,Yes,No,false,0,2.604505,1110,false
true,false,0,Yes,No,false,0,3.661006,3180,false
true,false,0,No,No,false,0,38.56,50,false
true,false,0,Yes,No,false,0,4386.115385,26,false
true,false,0,No,No,false,0,2.77665,197,false
true,false,0,No,No,false,0,7.156627,166,false
true,false,0,No,No,false,0,55.230769,13,false
true,false,0,No,No,false,0,1.021661,554,false
true,false,0,No,No,false,0,15.909091,11,false
true,false,0,No,No,false,0,4.123167,341,false
true,false,0,No,No,false,0,2.589744,156,false
true,false,0,No,No,false,0,7.326605,1932,false
true,false,0,No,No,false,0,14673.5,6,false
true,false,0,No,No,false,0,3464,1,false
true,false,0,No,No,false,0,21.134021,388,false
true,false,0,No,No,false,0,141.22449,98,false
true,false,0,No,No,false,0,3432.166667,6,false
true,false,0,No,No,false,0,4.439785,930,false
true,false,0,Yes,No,false,0,0.887928,7629,false
true,false,0,No,No,false,0,29.363636,11,false
true,false,0,No,No,false,0,1.923077,91,false
true,false,0,No,No,false,0,1095.231092,238,false
true,false,0,No,Yes,false,0,0.820513,273,false
true,false,0,Yes,No,false,0,5.66,150,false
true,false,0,Yes,No,false,0,12.117647,102,false
true,false,0,No,No,false,0,1722.85,20,false
true,false,0,No,No,false,0,1.428329,21801,false
true,false,0,Yes,No,false,0,24.941687,806,false
true,false,0,No,No,false,0,19.162162,703,false
true,false,0,No,No,false,0,3.704745,21517,false
