MB147 Q0 318021105094897665 1 8.510438 2013-2013-baseline# TResult(id:318021105094897665, rsv:8.510437965393066, screen_name:ItsZakGodard, epoch:1364657114, text:The Victoria Secret commercials make commercials worth watching., followers_count:623, statuses_count:8101, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298244865295265794 2 8.503562 2013-2013-baseline# TResult(id:298244865295265794, rsv:8.503561973571777, screen_name:miss_meggiee, epoch:1359942091, text:These commercials are boring. I want the Victoria secret commercial now, followers_count:63, statuses_count:4649, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298218470536003584 3 8.497727 2013-2013-baseline# TResult(id:298218470536003584, rsv:8.497727394104004, screen_name:BruceW_12, epoch:1359935798, text:We've had a beer commercial electronics, a car now we're waiting on a Victoria secret commercial, followers_count:580, statuses_count:14494, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 309865062871478273 4 8.497727 2013-2013-baseline# TResult(id:309865062871478273, rsv:8.497727394104004, screen_name:sievers16, epoch:1362712562, text:barb: I hate commercials *victorias secret commercial comes on* mark: this isn't so bad., followers_count:306, statuses_count:20748, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298223293968826371 5 8.497727 2013-2013-baseline# TResult(id:298223293968826371, rsv:8.497727394104004, screen_name:michael_busch22, epoch:1359936948, text:Alright the girls got there Calvin Klein commercial, now where's our Victoria secret commercial???, followers_count:240, statuses_count:668, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 310493105361149952 6 8.488760 2013-2013-baseline# TResult(id:310493105361149952, rsv:8.488759994506836, screen_name:Wizzy_elizibeth, epoch:1362862299, text:..... &lt;33 I did tons of Victoria secrets commercials, and 1 Pantene commercial. [Goes back too baby soap], followers_count:815, statuses_count:40505, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 298223252034183169 7 8.488760 2013-2013-baseline# TResult(id:298223252034183169, rsv:8.488759994506836, screen_name:Return_Of_DaMak, epoch:1359936938, text:Ok now... If I got to deal with this Calvin Kline commercial I better be rewarded with a Victoria Secret commercial, followers_count:125, statuses_count:2544, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 317776321352712192 8 8.479173 2013-2013-baseline# TResult(id:317776321352712192, rsv:8.479172706604004, screen_name:sgConceptBeauty, epoch:1364598753, text:Her beauty secret! Miranda Kerr moisturizes onset of commercial shoot and ...: The Victoria's Secret model twe... http://t.co/X8NtOodHwh, followers_count:64, statuses_count:2953, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 317672273244991488 9 7.861351 2013-2013-baseline# TResult(id:317672273244991488, rsv:7.861351013183594, screen_name:UhBrianna, epoch:1364573946, text:Victoria's Secret commercials are nice, followers_count:197, statuses_count:7751, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 318043821466320897 10 7.861351 2013-2013-baseline# TResult(id:318043821466320897, rsv:7.861351013183594, screen_name:CobyMcCleaf, epoch:1364662530, text:This Victoria's Secret commercial o.o, followers_count:1973, statuses_count:20517, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB147 Q0 316358839505149952 11 7.859093 2013-2013-baseline# TResult(id:316358839505149952, rsv:7.859092712402344, screen_name:Simbas_Mane, epoch:1364260799, text:That victoria secret commercial was nice!, followers_count:151, statuses_count:1570, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
