MB214 Q0 305848278581387265 1 10.295075 2013-2014-baseline# TResult(id:305848278581387265, rsv:10.295075416564941, screen_name:cincottapeter, epoch:1361754886, text:@gallit_z Common Core is a U.S. thing.  Common standards for math and english/language arts.  We are in the middle of the transition now., followers_count:254, statuses_count:1465, lang:null, in_reply_to_status_id:305847516530884609, in_reply_to_user_id:183925841, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 304451957056217088 2 10.269107 2013-2014-baseline# TResult(id:304451957056217088, rsv:10.2691068649292, screen_name:RealWorldMath, epoch:1361421977, text:A Very Special (Math) Challenge for the Common Core. What will CC look like in a SPED math class? http://t.co/Mwi0iLb0zz, followers_count:95, statuses_count:636, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 306815145370333185 3 9.642919 2013-2014-baseline# TResult(id:306815145370333185, rsv:9.642918586730957, screen_name:LEARNNC, epoch:1361985405, text:@kimberlyhirsh  shares Math common core resources: http://t.co/QydW6cyXgb #learnchat, followers_count:2085, statuses_count:4357, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 299522492240904193 4 9.642919 2013-2014-baseline# TResult(id:299522492240904193, rsv:9.642918586730957, screen_name:JerichoMS, epoch:1360246701, text:Helene Kriegstein explains the math Common Core at PTSA http://t.co/JxqIR3Jx, followers_count:78, statuses_count:109, lang:en, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 315955712373170177 5 9.642919 2013-2014-baseline# TResult(id:315955712373170177, rsv:9.642918586730957, screen_name:jacwoerner, epoch:1364164686, text:How the Common Core is redefining math instruction http://t.co/rGR3By8QH7 #mpt19, followers_count:76, statuses_count:247, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 316546744328544256 6 9.636043 2013-2014-baseline# TResult(id:316546744328544256, rsv:9.636042594909668, screen_name:pitsco_ISM, epoch:1364305599, text:Collaborative Team Produces New Common-Core Math Series -- THE Journal http://t.co/z39rqsqQ80 via @po_st, followers_count:11, statuses_count:284, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 300786932257013760 7 9.636043 2013-2014-baseline# TResult(id:300786932257013760, rsv:9.636042594909668, screen_name:Stoptesting15, epoch:1360548167, text:Do you have "Common Core math blues"?  http://t.co/1Ug08aRx via, followers_count:400, statuses_count:5323, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 301772165886382082 8 9.636043 2013-2014-baseline# TResult(id:301772165886382082, rsv:9.636042594909668, screen_name:SmartShorties, epoch:1360783065, text:Georgia students struggle on test tied to common core math course http://t.co/HeGy2wtK via @sharethis, followers_count:149, statuses_count:1594, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 303951324909805568 9 9.636043 2013-2014-baseline# TResult(id:303951324909805568, rsv:9.636042594909668, screen_name:pbullock12, epoch:1361302617, text:Via @StateImpactOH: How the Common Core Will Change High School Math Classes | http://t.co/jpXvygg3, followers_count:25, statuses_count:3, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 301074544070889473 10 9.636043 2013-2014-baseline# TResult(id:301074544070889473, rsv:9.636042594909668, screen_name:CommonCorner, epoch:1360616739, text:Georgia students struggle on test tied to common core math course  http://t.co/g6FriuBO, followers_count:63, statuses_count:359, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
MB214 Q0 301116587774210048 11 9.630208 2013-2014-baseline# TResult(id:301116587774210048, rsv:9.630208015441895, screen_name:mathematicsview, epoch:1360626763, text:Georgia students struggle on test tied to common core math course - Atlanta Journal Constitution http://t.co/5JJypHya, followers_count:4939, statuses_count:3236, lang:null, in_reply_to_status_id:0, in_reply_to_user_id:0, retweeted_status_id:0, retweeted_user_id:0, retweeted_count:0)
