@relation trainingSet

@attribute url {true,false}
@attribute 'URL Relevance' {false}
@attribute NumberOfRetweets numeric
@attribute Hashtag {Yes,No}
@attribute Mention {No,Yes}
@attribute 'Max Retweets' {false}
@attribute PercentMatch numeric
@attribute Tweets:Followers numeric
@attribute Followers numeric
@attribute Relevant {false}

@data
true,false,0,Yes,No,false,0,18.339324,3283,false
true,false,0,No,No,false,0,1.049123,285,false
false,false,0,No,No,false,0,2.727548,1982,false
false,false,0,No,No,false,0,11.021739,184,false
false,false,0,No,No,false,0,38.436869,396,false
false,false,0,No,No,false,0,1.10696,1954,false
false,false,0,No,No,false,0,1.569015,3847,false
true,false,0,No,No,false,0,416.535714,28,false
true,false,0,No,Yes,false,0,7.282528,538,false
true,false,0,No,No,false,0,4899,7,false
true,false,0,No,No,false,0,41.485714,140,false
true,false,0,No,No,false,0,80.488095,168,false
false,false,0,No,No,false,0,629.888889,9,false
false,false,0,No,No,false,0,173.75,36,false
false,false,0,Yes,Yes,false,0,5.115385,52,false
false,false,0,No,No,false,0,291.794118,34,false
false,false,0,No,No,false,0,488.029412,34,false
false,false,0,No,No,false,0,298.982143,56,false
true,false,0,No,No,false,0,254.011236,801,false
true,false,0,Yes,No,false,0,72.76,150,false
true,false,0,No,No,false,0,73.5,26,false
true,false,0,Yes,No,false,0,414.857143,70,false
true,false,0,No,No,false,0,150.321678,143,false
true,false,0,No,No,false,0,72.208421,950,false
false,false,0,No,No,false,0,2.996977,1985,false
false,false,0,No,No,false,0,11.046693,771,false
false,false,0,No,No,false,0,53.497706,436,false
false,false,0,No,No,false,0,32.104167,240,false
false,false,0,No,No,false,0,4.663004,273,false
true,false,0,No,No,false,0,0.623053,321,false
true,false,0,No,No,false,0,0.45509,334,false
true,false,0,No,No,false,0,0.895706,326,false
true,false,0,No,No,false,0,0.840841,333,false
true,false,0,No,No,false,0,0.641337,329,false
true,false,0,No,No,false,0,0.597633,338,false
true,false,0,No,No,false,0,0.599407,337,false
true,false,0,No,No,false,0,0.928571,336,false
true,false,0,No,No,false,0,0.578313,332,false
true,false,0,No,No,false,0,1,333,false
true,false,0,No,No,false,0,1.178571,336,false
true,false,0,No,No,false,0,0.373887,337,false
true,false,0,No,No,false,0,0.919162,334,false
true,false,0,No,No,false,0,0.764881,336,false
true,false,0,No,No,false,0,0.99403,335,false
true,false,0,No,No,false,0,0.362275,334,false
true,false,0,No,Yes,false,0,0.611111,18,false
true,false,0,No,No,false,0,0.378788,330,false
true,false,0,No,No,false,0,49.729064,203,false
true,false,0,No,No,false,0,9377.647059,17,false
true,false,0,No,No,false,0,387.934066,91,false
true,false,0,No,No,false,0,2318.466667,15,false
true,false,0,No,No,false,0,23.811828,558,false
true,false,0,Yes,Yes,false,0,5.765886,598,false
true,false,0,Yes,No,false,0,Infinity,0,false
true,false,0,Yes,Yes,false,0,153.470588,578,false
true,false,0,No,Yes,false,0,27.835843,1328,false
true,false,0,No,No,false,0,0.793939,330,false
true,false,0,No,No,false,0,620.8125,112,false
