@relation tweetSet

@attribute url {true,false}
@attribute 'URL Relevance' {false,true}
@attribute NumberOfRetweets numeric
@attribute Hashtag {No,Yes}
@attribute Mention {No,Yes}
@attribute 'Max Retweets' {false}
@attribute PercentMatch numeric
@attribute Tweets:Followers numeric
@attribute Followers numeric
@attribute Relevant {true,false}

@data
true,false,0,No,No,false,60,2.80663,543,true
true,false,0,No,No,false,59.52381,7.818942,718,true
true,true,0,No,No,false,32.520325,9.378713,404,true
false,false,0,No,No,false,80,13794,1,true
false,false,0,No,No,false,76.923077,Infinity,0,true
false,false,0,No,No,false,76.923077,658.815789,38,true
false,false,0,No,No,false,100,5.39863,730,true
false,false,0,No,No,false,83.333333,2.198684,1520,true
false,false,0,No,No,false,49.019608,40.9873,2126,true
true,true,0,No,No,false,48.780488,8.057618,781,true
false,false,0,No,No,false,54.054054,75.177033,209,true
true,false,0,No,Yes,false,42.016807,17.411679,685,true
true,true,0,No,No,false,37.5,Infinity,0,true
true,false,0,Yes,No,false,31.578947,Infinity,0,true
true,true,0,No,Yes,false,31.496063,9.286514,1787,true
true,false,0,No,No,false,47.244094,41.174776,2117,true
true,true,0,No,No,false,32.258065,11576,1,true
true,false,0,No,No,false,40,2773.974359,39,true
true,false,0,No,No,false,86.956522,11.946688,619,true
true,false,0,No,No,false,74.074074,21.839506,81,true
true,false,0,No,No,false,51.948052,10.287532,393,false
true,false,0,No,No,false,54.545455,6953,1,true
true,false,0,No,No,false,51.948052,12.221374,524,false
true,true,0,No,Yes,false,44.117647,10.066752,1558,true
true,false,0,No,No,false,50,16.879751,1605,false
true,false,0,No,No,false,37.037037,2.075758,396,true
true,false,0,No,No,false,44.117647,3.368159,402,true
false,false,0,No,No,false,100,2.431301,1099,true
true,false,0,Yes,No,false,35.39823,12.667279,544,true
true,false,0,No,No,false,32,33.766501,1606,true
true,true,0,No,Yes,false,15.384615,56.838095,105,true
true,true,0,No,No,false,32.258065,3.193548,1767,true
false,false,0,No,No,false,57.142857,329.875,24,true
true,false,0,No,No,false,25.641026,20.28777,417,true
